start	end	text
0	1600	Why aren't they talking about AI?
1600	5480	It just doesn't matter enough to the constituents, right?
5480	8840	Why are they talking about, name your topic, sir.
8840	9920	Name your topic.
9920	11760	I mean, the most arbitrary things
11760	13840	become giant friction points
13840	16080	and then they get in all the speeches.
16080	18080	Is it because of their inherent meaning
18080	20040	and some platonic reality?
20040	21240	No, no, no.
21240	23480	It's simply because they resonate with the constituency.
23480	25880	So we can expect AI to land
25960	30720	on the sort of political speech table
30720	33840	when it matters to the people who are being spoken to.
41720	45160	Hello and welcome to the 80th episode of New Human Podcast.
45160	50120	I'm a Gabbahari etiologist on Instagram and Twitter
50120	52120	and you can follow the show on liveinlumbo.com,
52120	55440	iTunes, YouTube, BitChute, and at some point on Spotify.
55440	58120	And today with me, I have Daniel Affigiello.
58120	60320	Welcome to New Human Podcast, Daniel.
60320	61600	Hey, glad to be here, brother.
61600	63920	Yeah, let's start with your background,
63920	65600	the work you've done, the lives you've lived
65600	68160	and what are you mainly focused on now these days?
68160	73160	Yeah, so I began sort of not in the computer science space.
73840	75960	So right now I'm the founder and head of research
75960	78440	at a company called Emerge Artificial Intelligence Research
78440	80280	that I founded some three years ago
80280	82240	when I sold my last business.
82240	84200	So at Emerge, our work is really
84240	87760	mapping the return on investment of AI in the private sector.
87760	90240	So we look at banking and financial services,
90240	91920	we look at pharmaceutical,
91920	93920	we look at the range of AI use cases
93920	96160	and which of them are actually delivering value
96160	99280	and we provide research products and data and advisory,
99280	101120	kind of like a Forrester or a Gardner,
101120	104120	to big companies who want to actually see a return
104120	105200	from artificial intelligence.
105200	107720	We do a good deal of work in the public sector as well,
107720	109760	mostly in defense and security,
109760	112160	financial crime, surveillance, things along those lines,
112160	114080	but primarily in the private sector,
114960	116720	it's going to be financial services, life sciences.
116720	119000	So market research is the name of the game,
119000	120840	but you want me to get into the old school stuff.
120840	123240	Yeah, it's interesting to have context
123240	126680	where the perspective of each individual comes from.
126680	129240	I mean, I want to talk about Emerge,
129240	130560	I want to talk about AI,
130560	133560	but it's also interesting to know who is representing
133560	136480	and expressing these ideas about AI.
136480	138040	For sure.
138040	139920	Well, I'll give you, I guess, a little bit of backdrop.
139920	143160	So I'm not exactly from a tech background at all,
143320	145560	I'm from a 4,000 person town in Rhode Island
145560	146880	called Wakefield, Rhode Island.
146880	148040	You've never heard of it before,
148040	149760	and you will from this point until you're deaf,
149760	151280	never hear of it again.
151280	153400	It's a very small place.
153400	154920	It's a quaint place, a beautiful place,
154920	156720	but it's not a place I could stay,
156720	158600	given my objectives in life.
158600	160440	So that's where I'm from,
160440	162680	and the way that I paid for college,
162680	164600	and ultimately for Ivy League graduate school
164600	165960	at the University of Pennsylvania,
165960	167720	where I studied cognitive science,
167720	169920	and my focus was on skill development
169920	171120	and skill acquisition.
171160	173920	So the cognitive science of acquiring skills quickly.
173920	175040	The reason I went in for that
175040	176560	is because I was in combat sports.
176560	177680	So the way I was paying the bills
177680	178880	was running a martial arts gym.
178880	180360	So I was training fighters.
180360	182120	We had some fitness classes,
182120	184800	but it was mostly mixed martial arts and Brazilian jiu-jitsu.
184800	186480	So I have a black belt in Brazilian jiu-jitsu.
186480	188400	I've trained extensively, given seminars
188400	191040	around the United States and even in Brazil,
191040	192920	and won a national tournament,
192920	194880	and did a lot of competing in my day.
194880	196640	And so that's how I was kind of paying the bills.
196640	198960	And so I was really interested in what does it look like
198960	201880	to improve faster from an athlete perspective,
201880	204120	training my own fighters, training myself.
204120	205880	And so that's what I went to graduate school for.
205880	208720	And when I was there, this is back in 2011,
208720	210200	I was getting capped on the shoulder that,
210200	212640	hey, Dan, all this human learning stuff,
212640	214200	all this neural stuff,
214200	216080	they're kind of doing that with computers.
216080	218080	And this is the really early days of ImageNet,
218080	220240	when ImageNet started becoming exciting.
220240	221680	This is also the very early days
221680	223960	of when they were applying natural language processing
223960	224800	to Twitter data.
224800	226480	There was something called Google Zeitgeist
226480	228960	that UPenn was involved with at the time,
228960	232360	deriving sentiment from different factors
232360	234160	in the social media ether,
234160	236640	and kind of determining how that correlated
236640	237640	to different cities,
237640	239200	and how weather affected different cities,
239200	241160	and the moods of people, and the sicknesses of people,
241160	242160	and things along those lines.
242160	246160	So when I got out of grad school with the psych degree,
246160	248480	I kind of became convinced this AI stuff,
248480	249480	looking at the near term,
249480	251400	and then also reading people like Nick Bostrom
251400	254080	and Ben Goertzel, and learning about the long term.
254080	256080	I was lucky enough to interview Ben Goertzel
256320	258160	and Bostrom pretty much right out of grad school.
258160	261200	I talked to all the major players in the AGI space.
261200	262200	I became very convinced
262200	263560	that in both the near and the long term,
263560	265920	this was an exceedingly important technology,
265920	268200	and that my understanding from a conceptual level
268200	269680	in the cognitive sciences,
269680	271520	I should just be able to transfer that over.
271520	274360	So I got right into really studying this stuff,
274360	276240	and then talking to the leading figures there,
276240	278440	and eventually started a company.
278440	279280	Very cool.
279280	281520	I mean, you must have started with interest in the mind,
281520	283120	getting into martial art,
283120	285520	the kind of martial art that you got into.
285520	288320	It's not that, hey, let's just go out and kick some ass.
288320	290680	It's more about finding yourself, right?
290680	293600	Through that art of battle.
294520	296200	Yeah, there's something to be said of that.
296200	298840	I don't personally overly spiritualize martial arts.
298840	300480	I think some people will play it up.
300480	302040	They'll be like, oh yes, I'm a martial artist,
302040	304080	and so you should presume that I am wise.
304080	305040	I actually don't do that.
305040	306040	I think if I am wise,
306040	307960	it's because I've read Montaigne and Plutarch,
307960	310800	more than because I've choked men unconscious.
310800	312640	But I've done both,
312640	316000	and I can say that certainly part of the fascination
316000	319440	of the mind is from beginning with martial arts,
319440	321360	and being able to see how different people learn,
321360	322920	and also see how I learned, right?
322920	325120	To go from, you know, in Rhode Island,
325120	326480	there's not that many good training partners,
326480	329720	so to win national tournaments is actually pretty difficult.
329720	332920	And I had to figure out how to go about drilling,
332920	334680	figure out what kind of training regimens
334680	335520	to build for myself.
335520	337400	And it wasn't just what kind of weights to lift.
337400	338880	In fact, I wasn't doing much of that.
338880	340960	It was what kind of skills do I want to acquire?
